Zeit [s],Spannung [mV]
0.006037642166674425,-22.67347
0.00606034006955666,-29.445513
0.0060830379724388945,-30.848948
0.006105735875321129,-31.79745
0.006128433778203364,-37.259132
0.006151131681085598,-38.9436
0.006173829583967834,-40.479733
0.006196527486850068,-42.497955
0.006219225389732303,-44.62997
0.0062419232926145376,-47.477825
0.006264621195496772,-48.608414
0.006287319098379007,-50.098
0.006310017001261241,-51.141983
0.006332714904143476,-52.43392
0.0063554128070257105,-55.20709
0.006378110709907945,-60.406002
0.006400808612790181,-63.483723
0.006423506515672415,-64.14004
0.00644620441855465,-67.69809
0.006468902321436884,-72.34955
0.006491600224319119,-75.13064
0.006514298127201354,-74.752884
0.006536996030083588,-76.70196
0.006559693932965823,-80.19252
0.006582391835848057,-81.11176
0.006605089738730292,-81.731705
0.006627787641612527,-83.0458
0.006650485544494762,-83.302666
0.006673183447376997,-83.467224
0.006695881350259231,-83.57083
0.006718579253141466,-79.320724
0.0067412771560237,-79.52204
0.006763975058905935,-82.512794
0.00678667296178817,-81.48575
0.006809370864670404,-81.3147
0.006832068767552639,-82.328606
0.006854766670434873,-84.14898
0.006877464573317109,-86.31733
0.0069001624761993435,-87.969574
0.006922860379081578,-89.99624
0.006945558281963813,-95.11443
0.006968256184846047,-94.807465
0.006990954087728282,-94.792564
0.0070136519906105164,-99.83033
0.007036349893492751,-100.12968
0.007059047796374986,-99.03911
0.00708174569925722,-99.078445
0.007104443602139456,-101.14105
0.00712714150502169,-100.38643
0.007149839407903925,-98.63855
0.0071725373107861595,-100.31862
0.007195235213668394,-104.08485
0.007217933116550629,-106.31927
0.007240631019432863,-105.2763
0.007263328922315098,-109.31383
0.0072860268251973325,-110.81265
0.007308724728079567,-106.22986
0.0073314226309618025,-109.930466
0.007354120533844037,-113.383446
0.007376818436726272,-110.713844
0.007399516339608506,-112.618225
0.007422214242490741,-113.019585
0.0074449121453729755,-112.50821
0.00746761004825521,-112.85035
0.007490307951137445,-111.095825
0.007513005854019679,-116.88345
0.007535703756901914,-121.52423
